USERR_ID,EVENT_ID,NAME,DOMAIN,DATE,STARTTIME,ENDTIME,LOCATION,TRAINER,CAPACITY,REGISTERED,RESOURCE_LINK,DESCRIPTION,ID,FIRST_NAME,LAST_NAME,EMAIL,GENDER,DESIGNATION,C7
5,13,Data Engineering Bootcamp: Hands-On Training,Data-engineering,18-10-2023,20:20:00,09:04:00,jarvis,Konstanze Kinghorne,50,0,https://drive.google.com/file/d/16FgMGtttyemBPRHLl1JLkwh6P2WBgOSw/view?usp=sharing,description,5,Gilly,de Cullip,gdecullip4@jimdo.com,Female,junior software engineer,9
7,7,Data Science Symposium: Innovations & Insights,Data-science,08-04-2023,15:14:00,01:58:00,tardis,Cacilia Castagnet,50,0,https://drive.google.com/file/d/16FgMGtttyemBPRHLl1JLkwh6P2WBgOSw/view?usp=sharing,description,7,Austin,Stitcher,astitcher6@behance.net,Female,junior software engineer,8
3,16,Data Analytics Panel: Industry Experts' Insights,Data-analytics,26-04-2023,21:34:00,03:08:00,aurum,Roseline Jearum,50,0,https://drive.google.com/file/d/16FgMGtttyemBPRHLl1JLkwh6P2WBgOSw/view?usp=sharing,description,3,Peder,Skahill,pskahill2@mozilla.org,Male,intern,1
47,10,Data Analytics for Business Professionals,Data-analytics,16-12-2023,13:09:00,02:09:00,groot,Edin Rozzell,50,0,https://drive.google.com/file/d/16FgMGtttyemBPRHLl1JLkwh6P2WBgOSw/view?usp=sharing,description,47,Perice,Whipp,pwhipp1a@redcross.org,Male,senior software engineer,9
92,6,Databases Administration Training,Databases,11-10-2023,20:33:00,01:40:00,falcon,Amalle Della,50,0,https://drive.google.com/file/d/16FgMGtttyemBPRHLl1JLkwh6P2WBgOSw/view?usp=sharing,description,92,Aurelie,Jarman,ajarman2j@nsw.gov.au,Non-binary,intern,1
62,15,Data Science Symposium: Innovations & Insights,Data-science,28-11-2023,17:51:00,05:51:00,oasis,Bryce Worswick,50,0,https://drive.google.com/file/d/16FgMGtttyemBPRHLl1JLkwh6P2WBgOSw/view?usp=sharing,description,62,Lorrin,Burchard,lburchard1p@narod.ru,Non-binary,senior software engineer,2
60,30,Databases Roundtable Discussion,Databases,30-10-2023,17:37:00,09:22:00,aurum,Celia Vernham,50,0,https://drive.google.com/file/d/16FgMGtttyemBPRHLl1JLkwh6P2WBgOSw/view?usp=sharing,description,60,Nicolas,Streets,nstreets1n@salon.com,Male,junior software engineer,2
61,23,Full Stack Hackathon: Building Next-Gen Apps,Full-stack,31-03-2024,18:53:00,05:39:00,aurum,Darb Chaster,50,0,https://drive.google.com/file/d/16FgMGtttyemBPRHLl1JLkwh6P2WBgOSw/view?usp=sharing,description,61,Karlotta,Hacker,khacker1o@wikimedia.org,Female,consultant,4
13,28,Full Stack Hackathon: Building Next-Gen Apps,Full-stack,25-04-2024,11:07:00,05:12:00,falcon,Marcus Steanyng,50,0,https://drive.google.com/file/d/16FgMGtttyemBPRHLl1JLkwh6P2WBgOSw/view?usp=sharing,description,13,Peter,Dunsmore,pdunsmorec@example.com,Male,senior software engineer,7
13,1,Advanced Data Engineering Techniques Seminar,Data-engineering,25-05-2023,11:16:00,08:45:00,groot,Demetre Medforth,50,0,https://drive.google.com/file/d/16FgMGtttyemBPRHLl1JLkwh6P2WBgOSw/view?usp=sharing,description,13,Peter,Dunsmore,pdunsmorec@example.com,Male,senior software engineer,7
99,21,Databases Roundtable Discussion,Databases,28-09-2023,21:07:00,08:16:00,jarvis,Celestine Lethem,50,0,https://drive.google.com/file/d/16FgMGtttyemBPRHLl1JLkwh6P2WBgOSw/view?usp=sharing,description,99,Foss,Westhofer,fwesthofer2q@flavors.me,Male,intern,2
